YPR159W YNL322C
YPR159W YGL207W
YML071C YOR280C
YML071C YJR008W
YKL197C YNL329C
YDR312W YOL113W
YJL158C YKL163W
YAL002W YKL203C
YAL038W YDL018C
YAL038W YER031C
YAL038W YGR028W
YAL038W YGR106C
YAL038W YHR133C
YAL038W YIL017C
YAL038W YIL140W
YAL038W YJL208C
YAL038W YNR006W
YBR181C YDR017C
YBR181C YOR254C
YHR174W YBL011W
YHR174W YCR091W
YHR174W YDL058W
YHR174W YDL123W
YHR174W YDL211C
YHR174W YDL239C
YHR174W YDR189W
YHR174W YGR106C
YHR174W YPL070W
YHR174W YPL170W
YHR174W YPL234C
YER031C YER136W
YIL017C YGL227W
YIL017C YER165W
YJL208C YMR099C
YDR017C YFR031C-A
YOR254C YNL178W
YOR254C YDR447C
YOR254C YBR171W
YBL011W YPR091C
YDL123W YMR186W
YDR189W YBL050W
YDR189W YLR026C
YPL170W YNL131W
YPL234C YBR118W
YPL234C YML074C
YPL234C YDR346C
YBR080C YHR027C
YBR080C YIL075C
YBR080C YER021W
YBR080C YDL147W
YBR080C YDL097C
YBR080C YPR108W
YBR080C YOR261C
YBR080C YDR427W
YBR080C YHR200W
YBR080C YFR004W
YBR080C YFR052W
YBR080C YLR421C
YBR080C YKL145W
YBR080C YDL007W
YBR080C YOR259C
YHR027C YDL147W
YHR027C YER021W
YHR027C YFR004W
YHR027C YOR261C
YHR027C YOR259C
YHR027C YOR117W
YHR027C YIL075C
YHR027C YKL145W
YHR027C YDL007W
YHR027C YPR108W
YHR027C YGL048C
YHR027C YFR010W
YHR027C YFR052W
YHR027C YDL097C
YHR027C YDR427W
YHR027C YDR394W
YIL075C YDL097C
YIL075C YFR004W
YIL075C YFR010W
YIL075C YGL048C
YIL075C YHR200W
YIL075C YDR427W
YIL075C YFR052W
YIL075C YOR117W
YIL075C YDR394W
YIL075C YER021W
YIL075C YOR259C
YIL075C YOR261C
YIL075C YDL147W
YIL075C YPR108W
YIL075C YKL145W
YER021W YDR394W
YER021W YOR117W
YER021W YFR004W
YDL097C YKL145W
YPR108W YFR004W
YPR108W YFR052W
YOR261C YFR004W
YOR261C YFR052W
YOR261C YKL145W
YOR261C YOR117W
YDR427W YFR004W
YFR004W YKL145W
YFR004W YDL007W
YFR004W YGL048C
YFR004W YDR394W
YFR004W YOR117W
YFR004W YFR052W
YKL145W YFR010W
YFR010W YDR394W
YAL028W YBR039W
YBL099W YBR039W
YBL099W YLR044C
YBL099W YJR121W
YBL099W YKL016C
YBL099W YDR298C
YBL099W YPL078C
YBL099W YGR105W
YBL099W YLR295C
YBL099W YML081C-A
YBL099W YPL271W
YBL099W YPR004C
YCL027W YBR118W
YDL192W YGL008C
YDL192W YNL064C
YDR331W YER165W
YER145C YPL231W
YER154W YJL080C
YGL227W YIL097W
YGL227W YDR255C
YGL227W YMR135C
YGL233W YLR044C
YJL070C YML035C
YLR241W YLR044C
YLR241W YJL130C
YLR373C YPL128C
YLR382C YNL178W
YLR382C YBR031W
YLR386W YBR118W
YMR207C YJL130C
YMR207C YGL245W
YMR207C YPL231W
YMR207C YKL182W
YNL064C YJL130C
YNL064C YLR404W
YPL180W YKL060C
YPL180W YCR012W
YPL180W YHR186C
YPL249C YCR009C
YPL259C YKL135C
YPL259C YPR029C
YPL259C YLR170C
YPR029C YBR031W
YPR029C YKL135C
YPR029C YLR170C
YPR049C YER177W
YEL017C-A YGL008C
YGR105W YJR121W
YGR105W YLR418C
YGR143W YGR086C
YGR167W YGL206C
YHR001W-A YPR110C
YJL041W YFR002W
YJL041W YGR119C
YML120C YMR186W
YML120C YPL240C
YML120C YGR123C
YNL264C YDL185W
YNL264C YGR170W
YOR142W YGR244C
YOR256C YNL230C
YPL145C YIL071C
YPL145C YLR113W
